Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SLV,El Salvador,Americas,Central America,-3.1,2.8,-1.4,5.1,8.8,5.0,-1.7,6.99,6.97,13.86,3.63,0.11,1.62,-2.66,9.3,4.9,3.27,-0.67,-3.43,5.78,2.87
SUR,Suriname,Americas,South America,3.69,17.35,13.21,7.84,11.45,5.97,7.22,6.6,0.1,4.96,4.04,0.34,-0.6,-1.01,-1.41,-1.43,2.04,4.22,-0.03,55.8,135.08
SVK,Slovakia,Europe,Eastern Europe,6.81,6.58,7.31,9.07,5.3,2.67,9.65,-0.29,10.13,5.56,3.8,3.1,0.13,-1.25,-0.97,2.55,4.01,1.2,2.6,0.06,18.95
SVN,Slovenia,Europe,Southern Europe,2.77,4.32,0.14,0.35,3.5,4.03,6.86,-5.36,-0.15,8.72,1.37,-0.78,-0.86,-2.55,0.85,2.48,3.72,3.11,-1.11,11.08,23.79
TCD,Chad,Africa,Middle Africa,-0.46,0.64,0.74,1.14,1.02,-0.76,4.62,1.46,1.39,5.78,6.0,1.99,2.83,1.15,0.46,0.43,-0.83,0.82,0.85,-1.83,-1.97
TGO,Togo,Africa,Western Africa,1.3,1.7,4.4,2.5,6.8,-0.5,-16.0,-9.0,9.7,3.6,2.73,1.88,1.41,0.59,-1.0,0.17,1.03,0.42,0.78,0.6,12.1
TON,Tonga,Oceania,Polynesia,-0.15,0.13,2.74,2.5,2.88,4.26,5.52,4.51,0.37,1.29,2.35,0.15,0.68,0.89,-0.29,0.04,2.41,0.95,0.51,5.98,26.01
TTO,Trinidad and Tobago,Americas,Caribbean,1.4,4.3,5.0,9.0,5.65,3.96,6.17,2.81,3.32,3.13,2.89,3.93,5.37,5.01,4.91,5.33,4.8,4.8,4.74,0.0,0.0
TUN,Tunisia,Africa,Northern Africa,44.8,19.8,8.44,10.66,12.66,11.21,19.64,8.82,6.29,5.78,11.46,7.17,5.69,7.62,6.56,8.03,15.79,13.6,4.74,4.97,5.8
TUR,Turkey,Asia,Western Asia,14.5,4.1,7.1,12.7,8.5,6.2,10.7,-1.6,9.2,16.85,16.32,14.2,10.67,1.32,6.61,7.57,11.97,7.92,12.4,17.72,67.62
TZA,"Tanzania, United Republic of",Africa,Eastern Africa,2.91,5.3,3.78,7.37,8.71,16.66,9.94,6.66,5.15,15.88,20.74,4.97,2.85,5.29,3.82,4.91,5.79,2.92,4.04,4.13,3.66
UKR,Ukraine,Europe,Eastern Europe,11.41,20.79,9.56,6.14,8.13,8.86,11.16,10.7,8.85,10.32,9.24,10.7,9.03,8.11,9.2,8.58,6.06,5.91,-2.98,23.16,5.01
URY,Uruguay,Americas,South America,2.22,2.52,2.57,3.26,3.8,3.16,3.18,0.37,-0.37,1.32,1.65,2.08,2.58,2.08,2.48,2.97,2.89,-2.11,7.18,7.95,7.09
VEN,Venezuela (Bolivarian Republic of),Americas,South America,16.08,12.85,9.62,7.24,6.8,6.55,8.75,12.08,13.68,12.14,9.83,12.1,16.37,22.12,2.5,109.58,94802.37,17687.47,1.79,1137.51,164.09
VNM,Viet Nam,Asia,South-Eastern Asia,7.86,8.06,6.45,7.0,9.01,11.09,20.54,3.82,17.02,19.72,10.51,4.7,3.74,-1.62,2.4,4.29,3.31,3.04,0.63,1.76,2.45
ZAF,South Africa,Africa,Southern Africa,6.5,4.45,-10.64,0.6,4.4,11.15,12.18,7.91,6.69,6.63,6.19,5.6,5.77,5.99,6.05,5.18,4.89,5.21,3.74,14.31,24.37
