Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
PAN,Panama,Americas,Central America,-0.6,1.2,1.3,4.2,1.31,6.72,14.93,5.77,2.87,5.91,8.08,5.75,3.04,-1.69,1.47,-0.54,-0.64,0.49,-0.82,1.64,3.38
PHL,Philippines,Asia,South-Eastern Asia,2.01,0.99,6.01,6.34,5.18,3.72,12.94,6.27,3.98,5.48,2.59,2.53,5.77,1.89,1.58,3.05,6.85,2.06,2.73,4.56,5.47
PNG,Papua New Guinea,Oceania,Melanesia,17.1,13.3,0.5,3.5,5.3,0.6,16.6,7.2,5.4,-0.54,-1.06,-1.72,4.9,4.86,5.07,2.83,0.81,3.01,2.23,4.36,5.68
POL,Poland,Europe,Eastern Europe,-0.66,-1.19,6.2,2.17,0.63,4.5,5.67,4.56,2.76,5.11,4.11,1.94,-0.92,-1.63,0.89,4.35,2.56,4.85,4.73,3.18,14.81
PRT,Portugal,Europe,Southern Europe,1.53,2.31,1.12,-0.57,2.69,2.45,3.72,-3.44,-0.24,2.1,3.2,1.94,-1.34,1.01,0.49,1.53,0.74,0.32,2.09,0.74,12.33
PRY,Paraguay,Americas,South America,10.89,22.79,7.66,5.74,15.67,17.41,15.82,0.6,8.51,13.33,-1.89,3.22,6.45,2.95,5.86,5.74,3.9,1.16,1.21,9.22,16.65
QAT,Qatar,Asia,Western Asia,1.3,-0.4,3.6,3.2,6.9,7.4,19.9,11.0,2.1,3.46,3.13,2.3,0.23,0.84,-1.85,1.92,-0.05,0.02,0.26,2.67,4.76
ROU,Romania,Europe,Eastern Europe,18.5,14.83,9.56,6.16,3.9,3.9,9.22,3.26,2.34,6.02,1.91,2.96,-1.63,-3.8,-2.58,2.48,3.75,4.7,4.8,2.81,15.73
RUS,Russian Federation,Europe,Eastern Europe,12.2,11.2,10.3,13.39,9.19,8.8,21.12,11.61,6.59,10.86,3.29,6.15,9.96,20.99,5.76,2.7,1.62,5.05,3.9,9.6,12.85
RWA,Rwanda,Africa,Eastern Africa,-1.2,13.8,18.9,10.1,9.92,7.83,16.32,16.25,1.66,6.54,12.41,5.09,1.17,3.86,10.81,9.45,2.88,3.72,15.4,-4.15,25.02
SAU,Saudi Arabia,Asia,Western Asia,-0.6,2.58,2.76,3.0,5.34,6.97,14.11,1.96,6.27,5.15,4.44,5.83,1.37,0.64,-1.3,-0.83,6.48,2.07,9.0,5.39,3.67
SEN,Senegal,Africa,Western Africa,4.76,-0.61,0.75,3.89,1.37,7.27,13.01,-3.24,3.97,6.66,2.48,1.3,-1.86,1.81,3.31,3.74,1.06,0.98,3.3,2.78,13.94
SGP,Singapore,Asia,South-Eastern Asia,0.03,0.6,2.02,1.29,1.55,2.96,7.73,2.27,1.36,3.05,2.33,2.11,2.91,1.93,2.05,1.4,1.44,1.53,1.86,1.6,4.92
SLE,Sierra Leone,Africa,Western Africa,-0.8,7.5,7.5,7.3,7.3,11.0,8.51,8.3,8.59,7.75,6.71,5.68,4.66,8.36,12.57,19.44,17.7,8.81,8.55,16.96,26.77
SLV,El Salvador,Americas,Central America,1.9,1.9,6.3,6.2,3.1,6.3,12.1,-4.3,1.02,6.94,0.3,2.39,3.19,1.37,-0.56,0.16,0.53,1.16,1.58,2.27,12.17
SVK,Slovakia,Europe,Eastern Europe,1.43,3.38,4.8,-1.37,1.42,3.99,7.67,-3.23,1.61,6.06,4.19,3.51,-0.78,-0.29,-2.78,3.97,3.9,4.0,2.52,1.83,17.67
SVN,Slovenia,Europe,Southern Europe,7.51,4.46,0.53,-1.01,2.28,8.02,10.02,0.49,0.7,4.39,4.11,3.6,-0.3,0.83,0.92,2.22,2.67,1.6,3.52,-0.2,11.63
SWE,Sweden,Europe,Northern Europe,3.25,0.32,-0.44,-0.69,0.76,2.03,6.91,2.89,1.45,1.28,1.48,2.21,0.37,2.33,1.05,2.14,2.37,34.36,2.14,0.41,10.65
TCD,Chad,Africa,Middle Africa,6.21,-2.56,-5.36,11.38,-1.98,-11.07,16.32,9.3,-3.82,1.65,12.34,-1.62,2.52,2.47,-2.71,-3.72,-1.86,-5.39,9.44,-1.63,5.93
TGO,Togo,Africa,Western Africa,3.9,-5.7,-1.2,1.83,2.47,3.89,5.67,9.5,-0.34,1.15,3.37,0.57,-4.35,5.88,3.15,-4.15,0.31,-0.52,3.39,9.83,12.07
THA,Thailand,Asia,South-Eastern Asia,0.44,3.69,4.52,4.95,4.56,4.04,11.59,4.4,5.44,7.96,4.85,3.41,3.94,1.13,1.61,0.0,0.41,2.31,1.23,-0.13,6.49
TON,Tonga,Oceania,Polynesia,16.8,9.6,9.1,6.0,2.94,7.35,7.69,7.85,2.98,6.57,1.47,1.86,3.65,1.86,1.33,8.6,9.1,1.73,1.9,7.24,10.24
TTO,Trinidad and Tobago,Americas,Caribbean,10.12,13.65,12.88,22.99,23.13,17.45,25.9,12.68,22.07,10.47,19.09,8.73,10.04,8.56,7.47,2.92,1.12,0.57,2.8,4.4,9.04
TUN,Tunisia,Africa,Northern Africa,4.0,3.4,4.9,0.1,5.4,2.8,6.2,4.3,9.39,4.58,7.03,7.18,4.95,4.51,2.72,5.63,7.25,6.87,4.66,6.34,9.72
