Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MYS,1.79,1.07,1.42,3.04,3.62,2.03,5.43,0.6,1.72,3.17,1.66,2.11,3.14,2.1,2.08,3.8,0.97,0.66,-1.14,2.48,3.38
NAM,12.72,7.21,4.14,2.27,4.96,6.57,9.08,9.43,4.9,5.01,6.7,5.63,5.34,3.41,6.68,6.15,4.28,3.72,2.21,3.62,6.08
NER,2.67,-1.89,0.57,7.82,0.05,0.06,11.29,4.3,-2.79,2.94,0.47,2.29,-0.94,1.01,0.18,0.2,3.01,-2.52,2.76,3.84,4.23
NGA,12.89,14.01,15.06,17.82,8.28,5.42,11.57,12.57,13.74,10.81,12.2,8.48,8.04,9.01,15.69,16.5,12.1,11.4,13.25,16.95,18.85
NIC,3.75,5.3,8.47,9.6,9.14,11.13,19.83,3.69,5.45,8.08,7.19,7.14,6.04,3.99,3.52,3.85,4.94,5.38,3.68,4.93,10.47
NLD,3.29,2.09,1.26,1.69,1.1,1.61,2.49,1.19,1.28,2.34,2.46,2.51,0.98,0.6,0.32,1.3,1.7,2.67,1.27,2.68,10.0
NOR,1.29,2.49,0.45,1.53,2.33,0.71,3.75,2.2,2.42,1.28,0.7,2.12,2.04,2.17,3.55,1.88,2.76,2.17,1.29,3.48,5.8
NPL,2.9,4.74,3.96,4.54,7.96,6.2,6.68,12.62,9.56,9.57,8.31,9.87,9.04,7.21,9.93,4.45,4.15,4.64,5.05,3.6,6.26
NZL,2.68,1.75,2.29,3.04,3.37,2.38,3.96,2.12,2.3,4.03,1.06,1.13,1.23,0.29,0.65,1.85,1.6,1.62,1.71,3.94,6.28
OMN,-0.28,0.22,0.61,1.94,3.51,5.81,12.41,3.47,3.26,4.04,2.94,1.05,1.03,0.07,1.11,1.6,0.88,0.13,-0.9,1.55,2.81
PAK,3.7,2.87,7.44,9.06,7.92,7.6,19.75,12.16,12.93,11.92,9.68,7.69,7.2,2.55,3.75,4.15,5.07,6.74,9.74,9.5,19.87
PAN,1.22,1.43,0.18,2.87,2.43,4.18,8.72,2.42,3.53,5.84,5.69,4.05,2.63,0.13,0.76,0.88,0.77,-0.35,-1.55,1.63,2.86
PER,0.2,2.26,3.66,1.61,2.0,1.78,5.79,2.93,1.53,3.37,3.66,2.81,3.25,3.55,3.59,2.8,1.32,2.14,1.83,4.27,7.88
PHL,3.0,3.48,5.98,7.69,6.52,2.96,8.17,4.21,3.79,4.72,3.17,2.95,4.17,1.4,1.81,2.85,5.26,2.48,2.64,3.93,5.82
PLW,0.09,0.5,0.95,4.08,4.08,3.29,11.9,1.42,1.45,4.69,3.59,3.41,4.15,0.95,-1.03,0.9,1.57,0.61,0.22,0.45,12.2
PNG,11.8,14.71,2.16,1.78,2.37,0.91,10.77,6.91,5.1,4.44,4.54,4.96,5.22,6.0,6.69,5.43,4.73,3.68,3.37,4.49,6.6
POL,1.91,0.68,3.38,2.18,1.28,2.46,4.16,3.8,2.58,4.24,3.56,0.99,0.05,-0.87,-0.66,1.98,1.81,2.31,3.37,5.1,14.3
PRI,0.19,1.39,2.54,5.61,5.18,4.23,5.21,0.28,2.47,2.9,1.35,1.06,0.57,-0.75,-0.29,1.75,1.27,0.1,-1.3,2.41,4.39
PRT,3.6,3.22,2.37,2.28,3.11,2.45,2.59,-0.84,1.4,3.65,2.77,0.27,-0.28,0.49,0.61,1.56,0.99,0.3,-0.01,1.27,7.8
PRY,10.49,14.22,4.29,6.86,9.52,8.19,10.17,2.59,4.67,8.24,3.68,2.67,5.0,3.13,4.08,3.6,3.96,2.76,1.77,4.79,9.77
QAT,0.17,2.25,6.77,8.88,11.79,13.67,15.12,-4.88,-2.43,1.91,1.86,3.1,3.32,1.86,2.68,0.4,0.22,-0.55,-2.54,2.3,5.0
ROU,22.51,15.38,11.86,9.0,6.6,4.84,7.85,5.58,6.12,5.79,3.34,3.99,1.07,-0.6,-1.55,1.34,4.64,3.83,2.63,5.05,13.8
RUS,15.79,13.66,10.89,12.69,9.67,9.01,14.11,11.65,6.85,8.44,5.07,6.75,7.82,15.53,7.04,3.68,2.88,4.47,3.38,6.69,13.75
RWA,1.98,7.45,11.98,9.12,8.83,9.08,15.44,10.35,2.31,5.67,6.29,4.22,1.78,2.51,5.72,4.84,1.36,2.43,9.85,-0.39,17.7
SAU,0.25,0.61,0.52,0.48,2.21,4.17,9.87,5.06,5.34,5.83,2.87,3.51,2.24,1.22,2.05,-0.85,2.47,-2.09,3.45,3.06,2.5
SDN,22.23,6.49,9.66,8.51,7.2,14.75,14.3,11.26,12.98,18.1,35.56,36.52,36.91,16.91,17.75,32.35,63.29,50.99,17087.72,359.09,138.81
SEN,2.4,-0.05,0.51,1.71,2.11,5.86,6.34,-2.25,1.23,3.4,1.42,0.71,-1.08,0.13,0.84,1.32,0.46,1.02,2.55,2.18,9.69
SGP,-0.39,0.49,1.67,0.47,0.96,2.11,6.62,0.59,2.82,5.24,4.58,2.36,1.03,-0.52,-0.54,0.58,0.45,0.56,-0.18,2.3,6.02
SLB,9.37,10.08,6.92,7.53,11.22,7.66,17.32,7.11,0.95,7.44,5.91,5.39,5.17,-0.56,0.5,0.48,2.66,1.83,2.96,-0.11,3.74
SLE,0.12,3.99,12.92,13.7,10.53,16.97,8.2,7.47,7.89,6.1,6.59,5.52,4.64,6.69,10.88,18.22,16.03,14.8,13.45,11.87,25.91
